Tag,Number of Times Assigned,Automation 1,Automation 2,Automation 3,Automation 4
existing contact,20336,,,,
opens60days,4750,,,,
dnd_email,4517,,,,
opens90days,4490,,,,
opens30days,2609,,,,
clicks90days,959,,,,
10 engagement score,854,,,,
super engaged mqls,763,,,,
membership-cancellation,749,,,,
dc thru g-ad,659,,,,
clicks60days,608,,,,
softbounce,596,,,,
dirty girl free guide downloads,551,,,,
new contact,506,1 Leads - Opps & Pipelines -New Contact - COLD,Leads - New Contact - COLD - Nurture,Leads - New Contact - PCP Facebook Campaign,
meta lead,400,,,,
membership,351,4 Leads - Opps & Pipelines - In Play For Membership,Membership Deactivation/ Cancellation,,
clicks30days,323,,,,
blog contact form list,321,,,,
woocommerce registration,320,,,,
prospect - yes (won),309,,,,
prospect - membership cancelled b4 1st appt,290,,,,
unsubscribes,257,,,,
outrgow msq,254,,,,
hardbounce,202,,,,
website footer contact,149,FJ Website Footer Contact Form,,,
prospect - maybe,132,,,,
ffa podcast contact,97,,,,
child,88,ADHD In Children,Child Tag Add,,
prospect - no (lost),42,,,,
dnd_sms,39,,,,
spouse,37,Spouse Tag Add,,,
new customer,22,,,,
outgrow_celiac,22,,,,
fj blog contact,12,FJ Blog Contact Form Tag,,,
dependent parent,6,Dependent Parent Tag Add,,,
bulk tag removal,0,Bulk Tag Removal,,,
flush_pipeline_temp,0,,,,
outbound call log active,0,,,,
outgrow exit,0,,,,
remove super engaged tag,0,,,,
sales,0,3 Leads - Opps & Pipelines - Sales Qualified,Log Outbound Sales Calls,Outbound Sales Opportunity Tracking,Updating Lead Source (from Sales to Marketing)
sibling,0,,,,
sql lead (dc pending),0,,,,
temporary tag - lasts 30 minutes,0,,,,
