Year,Q1_Start,Q1_End,Session_default_channel_group,Sessions,Total_users
2024,2024-01-01,2024-03-31,Organic Search,19918,12302
2024,2024-01-01,2024-03-31,Direct,10179,6628
2024,2024-01-01,2024-03-31,Organic Social,2422,2270
2024,2024-01-01,2024-03-31,Paid Social,1754,1673
2024,2024-01-01,2024-03-31,Referral,1034,691
2024,2024-01-01,2024-03-31,Email,691,355
2024,2024-01-01,2024-03-31,Paid Search,496,408
2024,2024-01-01,2024-03-31,Unassigned,107,111
2024,2024-01-01,2024-03-31,Organic Video,86,61
2024,2024-01-01,2024-03-31,Paid Other,31,31
2025,2025-01-01,2025-03-31,Organic Search,20663,13494
2025,2025-01-01,2025-03-31,Direct,7520,4469
2025,2025-01-01,2025-03-31,Paid Search,1500,1305
2025,2025-01-01,2025-03-31,Referral,1456,852
2025,2025-01-01,2025-03-31,Email,1211,682
2025,2025-01-01,2025-03-31,Unassigned,1104,704
2025,2025-01-01,2025-03-31,Organic Social,849,799
2025,2025-01-01,2025-03-31,Paid Social,715,629
2025,2025-01-01,2025-03-31,Display,452,435
2025,2025-01-01,2025-03-31,Organic Video,66,45
2025,2025-01-01,2025-03-31,Paid Other,33,30
2025,2025-01-01,2025-03-31,Organic Shopping,7,6
2025,2025-01-01,2025-03-31,Cross-network,1,1
2026,2026-01-01,2026-03-31,Organic Search,14287,9754
2026,2026-01-01,2026-03-31,Direct,10919,8460
2026,2026-01-01,2026-03-31,Display,5532,4801
2026,2026-01-01,2026-03-31,Cross-network,4399,3437
2026,2026-01-01,2026-03-31,Paid Search,3977,3334
2026,2026-01-01,2026-03-31,Paid Other,3044,2820
2026,2026-01-01,2026-03-31,Unassigned,1030,688
2026,2026-01-01,2026-03-31,Referral,919,464
2026,2026-01-01,2026-03-31,Email,865,466
2026,2026-01-01,2026-03-31,Organic Social,527,507
2026,2026-01-01,2026-03-31,Paid Social,126,125
2026,2026-01-01,2026-03-31,Paid Video,80,69
2026,2026-01-01,2026-03-31,Organic Video,37,22
2026,2026-01-01,2026-03-31,Organic Shopping,11,9
